"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","NL_NAME_2","VARNAME_2","TYPE_2","ENGTYPE_2"
29816,206,"SVN","Slovenia",7,"Osrednjeslovenska",83,"Litija","","","Opcine","Commune|Municipality"
29817,206,"SVN","Slovenia",7,"Osrednjeslovenska",84,"Ljubljana","","","Opcine","Commune|Municipality"
29818,206,"SVN","Slovenia",7,"Osrednjeslovenska",85,"Logatec","","","Opcine","Commune|Municipality"
29819,206,"SVN","Slovenia",7,"Osrednjeslovenska",86,"Lukovica","","","Opcine","Commune|Municipality"
29820,206,"SVN","Slovenia",7,"Osrednjeslovenska",87,"Medvode","","","Opcine","Commune|Municipality"
29821,206,"SVN","Slovenia",7,"Osrednjeslovenska",88,"Mengeš","","","Opcine","Commune|Municipality"
29822,206,"SVN","Slovenia",7,"Osrednjeslovenska",89,"Moravce","","","Opcine","Commune|Municipality"
29823,206,"SVN","Slovenia",7,"Osrednjeslovenska",90,"Škofljica","","","Opcine","Commune|Municipality"
29824,206,"SVN","Slovenia",7,"Osrednjeslovenska",91,"Trzin","","","Opcine","Commune|Municipality"
29825,206,"SVN","Slovenia",7,"Osrednjeslovenska",92,"Velike Lašce","","","Opcine","Commune|Municipality"
29826,206,"SVN","Slovenia",7,"Osrednjeslovenska",93,"Vodice","","","Opcine","Commune|Municipality"
29827,206,"SVN","Slovenia",7,"Osrednjeslovenska",94,"Vrhnika","","","Opcine","Commune|Municipality"
29828,206,"SVN","Slovenia",8,"Podravska",95,"Benedikt","","","Opcine","Commune|Municipality"
29829,206,"SVN","Slovenia",8,"Podravska",96,"Cerkvenjak","","","Opcine","Commune|Municipality"
29830,206,"SVN","Slovenia",8,"Podravska",97,"Destrnik","","","Opcine","Commune|Municipality"
29831,206,"SVN","Slovenia",8,"Podravska",98,"Dornava","","","Opcine","Commune|Municipality"
29832,206,"SVN","Slovenia",8,"Podravska",99,"Duplek","","","Opcine","Commune|Municipality"
29833,206,"SVN","Slovenia",8,"Podravska",100,"Gorišnica","","","Opcine","Commune|Municipality"
29834,206,"SVN","Slovenia",8,"Podravska",101,"Hajdina","","","Opcine","Commune|Municipality"
29835,206,"SVN","Slovenia",8,"Podravska",102,"Hoce-Slivnica","","","Opcine","Commune|Municipality"
29836,206,"SVN","Slovenia",8,"Podravska",103,"Juršinci","","","Opcine","Commune|Municipality"
29837,206,"SVN","Slovenia",12,"Zasavska",192,"Zagorje ob Savi","","","Opcine","Commune|Municipality"
32486,206,"SVN","Slovenia",1,"Gorenjska",1,"Bled","","","Opcine","Commune|Municipality"
32487,206,"SVN","Slovenia",1,"Gorenjska",2,"Bohinj","","","Opcine","Commune|Municipality"
32488,206,"SVN","Slovenia",1,"Gorenjska",3,"Cerklje na Gorenjskem","","","Opcine","Commune|Municipality"
32489,206,"SVN","Slovenia",1,"Gorenjska",4,"Gorenja Vas-Poljane","","","Opcine","Commune|Municipality"
32490,206,"SVN","Slovenia",1,"Gorenjska",5,"Jesenice","","","Opcine","Commune|Municipality"
32491,206,"SVN","Slovenia",1,"Gorenjska",6,"Jezersko","","","Opcine","Commune|Municipality"
32492,206,"SVN","Slovenia",1,"Gorenjska",7,"Kranj","","","Opcine","Commune|Municipality"
32493,206,"SVN","Slovenia",1,"Gorenjska",8,"Kranjska Gora","","","Opcine","Commune|Municipality"
32494,206,"SVN","Slovenia",1,"Gorenjska",9,"Naklo","","","Opcine","Commune|Municipality"
32495,206,"SVN","Slovenia",1,"Gorenjska",10,"Preddvor","","","Opcine","Commune|Municipality"
32496,206,"SVN","Slovenia",1,"Gorenjska",11,"Radovljica","","","Opcine","Commune|Municipality"
32497,206,"SVN","Slovenia",1,"Gorenjska",12,"Šencur","","","Opcine","Commune|Municipality"
32498,206,"SVN","Slovenia",1,"Gorenjska",13,"Škofja Loka","","","Opcine","Commune|Municipality"
